Provincia,Departamento,Cantidad de CC con cap>100
Buenos Aires,Avellaneda,20
Buenos Aires,La Plata,8
Buenos Aires,Lomas De Zamora,3
Buenos Aires,Almirante Brown,2
Buenos Aires,General Pueyrredon,2
Buenos Aires,Bragado,1
Buenos Aires,Olavarria,1
Buenos Aires,Tres De Febrero,1
Buenos Aires,Mercedes,1
Buenos Aires,Dolores,0
Buenos Aires,Bahia Blanca,0
Buenos Aires,Benito Juarez,0
Buenos Aires,Berazategui,0
Buenos Aires,Canuelas,0
Buenos Aires,Carlos Casares,0
Buenos Aires,General Juan Madariaga,0
Buenos Aires,Pigue,0
Buenos Aires,San Isidro,0
Buenos Aires,Punta Indio,0
Buenos Aires,Ezeiza,0
Buenos Aires,Pehuajo,0
Buenos Aires,San Fernando,0
Buenos Aires,General Lavalle,0
Buenos Aires,Coronel Brandsen,0
Buenos Aires,Tapalque,0
Buenos Aires,Capitan Sarmiento,0
Buenos Aires,San Cayetano,0
Buenos Aires,Coronel De Marina Leonardo Rosales,0
Buenos Aires,Lujan,0
Buenos Aires,Monte,0
Buenos Aires,Villarino,0
Buenos Aires,Villa Gesell,0
Buenos Aires,Pinamar,0
Buenos Aires,San Vicente,0
Buenos Aires,Ramallo,0
Buenos Aires,San Miguel,0
Buenos Aires,Coronel Pringles,0
Buenos Aires,Florentino Ameghino,0
Buenos Aires,Chascomus,0
Buenos Aires,Tordillo,0
Buenos Aires,General La Madrid,0
Buenos Aires,Saavedra,0
Buenos Aires,Esteban Echeverria,0
Buenos Aires,Trenque Lauquen,0
Buenos Aires,Presidente Peron,0
Buenos Aires,Carmen De Areco,0
Buenos Aires,Vicente Lopez,0
Buenos Aires,Pila,0
Buenos Aires,General Viamonte,0
Buenos Aires,Pellegrini,0
Buenos Aires,Patagones,0
Buenos Aires,General Arenales,0
Buenos Aires,Carlos Tejedor,0
Buenos Aires,Rivadavia,0
Buenos Aires,Rauch,0
Buenos Aires,Suipacha,0
Buenos Aires,San Nicolas,0
Buenos Aires,General San Martin,0
Buenos Aires,Colon,0
Buenos Aires,Ensenada,0
Buenos Aires,Jose C. Paz,0
Buenos Aires,General Pinto,0
Buenos Aires,San Andres De Giles,0
Buenos Aires,Quilmes,0
Buenos Aires,Adolfo Gonzales Chaves,0
Buenos Aires,Bolivar,0
Buenos Aires,Pilar,0
Buenos Aires,Ayacucho,0
Buenos Aires,Balcarce,0
Buenos Aires,Berisso,0
Buenos Aires,Azul,0
Buenos Aires,General Guido,0
Buenos Aires,Coronel Dorrego,0
Buenos Aires,Navarro,0
Buenos Aires,General Alvarado,0
Buenos Aires,General Las Heras,0
Buenos Aires,Rojas,0
Buenos Aires,Leandro N. Alem,0
Buenos Aires,Pergamino,0
Buenos Aires,Roque Perez,0
Buenos Aires,San Pedro,0
Buenos Aires,Tandil,0
Buenos Aires,Tigre,0
Buenos Aires,Maipu,0
Buenos Aires,Marcos Paz,0
Buenos Aires,General Paz,0
Buenos Aires,Campana,0
Buenos Aires,Salto,0
Buenos Aires,Necochea,0
Buenos Aires,Mar Chiquita,0
Buenos Aires,Las Flores,0
Buenos Aires,Moreno,0
Buenos Aires,Junin,0
Buenos Aires,Puan,0
Buenos Aires,Arrecifes,0
Buenos Aires,Castelli,0
Buenos Aires,Malvinas Argentinas,0
Buenos Aires,Veronica,0
Buenos Aires,Zarate,0
Buenos Aires,Saladillo,0
Buenos Aires,Monte Hermoso,0
Buenos Aires,Salliquelo,0
Buenos Aires,Laprida,0
Buenos Aires,Lezama,0
Buenos Aires,Guamini,0
Buenos Aires,General Alvear,0
Buenos Aires,Tornquist,0
Buenos Aires,Escobar,0
Buenos Aires,Coronel Suarez,0
Buenos Aires,9 De Julio,0
Buenos Aires,Chivilcoy,0
Buenos Aires,General Rodriguez,0
Buenos Aires,Merlo,0
Buenos Aires,Moron,0
Buenos Aires,Tres Arroyos,0
Buenos Aires,General Belgrano,0
Buenos Aires,Florencio Varela,0
Buenos Aires,Hipolito Yrigoyen,0
Buenos Aires,Lanus,0
Buenos Aires,Loberia,0
Buenos Aires,Daireaux,0
Buenos Aires,Tres Lomas,0
Buenos Aires,Alberti,0
Buenos Aires,Hurlingham,0
Buenos Aires,Ituzaingo,0
Buenos Aires,Lincoln,0
Buenos Aires,Lobos,0
Buenos Aires,25 De Mayo,0
Buenos Aires,General Villegas,0
Buenos Aires,La Costa,0
Buenos Aires,Baradero,0
Buenos Aires,Exaltacion De La Cruz,0
Buenos Aires,Brandsen,0
Buenos Aires,Magdalena,0
Buenos Aires,San Antonio De Areco,0
Buenos Aires,Adolfo Alsina,0
Buenos Aires,Chacabuco,0
Buenos Aires,La Matanza,0
Catamarca,La Paz,0
Catamarca,Santa Maria,0
Catamarca,Santa Rosa,0
Catamarca,Ancasti,0
Catamarca,Antofagasta De La Sierra,0
Catamarca,Poman,0
Catamarca,Fray Mamerto Esquiu,0
Catamarca,Andalgala,0
Catamarca,Ambato,0
Catamarca,El Alto,0
Catamarca,Valle Viejo,0
Catamarca,Capayan,0
Catamarca,Capital,0
Catamarca,Paclin,0
Catamarca,Belen,0
Catamarca,Tinogasta,0
Chaco,San Fernando,2
Chaco,Mayor Luis J. Fontana,1
Chaco,O'Higgins,1
Chaco,Sargento Cabral,0
